"","full_text","Handle","text"
"213","RT @IAPolls2022: Quinnipiac Poll: Biden Job Approval

Overall
Approve 36%
Disapprove 55%

Independents
Approve 32%
Disapprove 55%

Hispanic…","ben","RT  IAPolls2022  Quinnipiac Poll  Biden Job Approval

Overall
Approve 36 
Disapprove 55 

Independents
Approve 32 
Disapprove 55 

Hispanic "
"214","RT @Strangeland_Elf: @realDailyWire Yo. https://t.co/Jna3h322cm","ben","RT  Strangeland Elf   realDailyWire Yo  "
"215","RT @TPCarney: Also, people should have babies.","ben","RT  TPCarney  Also  people should have babies "
"216","RT @classicallyabby: Lie #5 the Left tells women: I'm Not Lonely, I'm Independent!

WATCH FULL VIDEO HERE: https://t.co/k9b8b2wHzh https://…","ben","RT  classicallyabby  Lie  5 the Left tells women  I m Not Lonely  I m Independent 

WATCH FULL VIDEO HERE  "
"217","RT @RonColeman: Great response from @realchrisrufo to the utterly unscientific @seattlebryn nonsense published in @sciam:  

""Stochastic Te…","ben","RT  RonColeman  Great response from  realchrisrufo to the utterly unscientific  seattlebryn nonsense published in  sciam   

 Stochastic Te "
"218","RT @Lancegooden: Cost of Thanksgiving under Trump: $46.90

Cost of Thanksgiving under Biden: $64.05

But don't worry, Americans saved 16 ce…","ben","RT  Lancegooden  Cost of Thanksgiving under Trump  $46 90

Cost of Thanksgiving under Biden  $64 05

But don t worry  Americans saved 16 ce "
"219","RT @kmele: ""What am I doing wrong?""

Making sweeping assumptions about recent tragedy. Systematically eschewing nuance + promoting hysteria…","ben","RT  kmele   What am I doing wrong  

Making sweeping assumptions about recent tragedy  Systematically eschewing nuance + promoting hysteria "
"220","RT @redsteeze: This whole Effective Altruism thing. Boy I don't know. 
https://t.co/d0LgB15dmw https://t.co/BSZLN7tBEC","ben","RT  redsteeze  This whole Effective Altruism thing  Boy I don t know  
"
"221","RT @Super70sSports: I’m going to build a time machine just so I can go back and can see the look on 1990 me’s face when I tell him these se…","ben","RT  Super70sSports  I m going to build a time machine just so I can go back and can see the look on 1990 me s face when I tell him these se "
"222","Much Journalisming™ https://t.co/utXY2hH6np","ben","Much Journalisming "
"223","Steph Curry has a 43 in 100 chance of making a three-pointer (career average: 42.8%). Does this mean that if he makes a three-pointer, we ought to be supremely surprised? https://t.co/zwPAemoojo","ben","Steph Curry has a 43 in 100 chance of making a three pointer  career average  42 8    Does this mean that if he makes a three pointer  we ought to be supremely surprised  "
"224","RT @BradWilcoxIFS: “A precise 50/50 division of labor—including paid work, household, and child care tasks—might work for some marriages, b…","ben","RT  BradWilcoxIFS   A precise 50 50 division of labor including paid work  household  and child care tasks might work for some marriages  b "
"225","You calling out others for their supposed anti-Semitism is like OJ Simpson calling out others for spousal mistreatment https://t.co/SwtLrDRoEe","ben","You calling out others for their supposed anti Semitism is like OJ Simpson calling out others for spousal mistreatment "
"226","""Agree with me or I will blame you for murder"" is a hell of a take https://t.co/v3wU5iDPpn","ben"," Agree with me or I will blame you for murder  is a hell of a take "
"227","RT @BjornLomborg: If no climate progress has been made

it kind of means 'amazing work' on climate window-dressing

We need better amazing…","ben","RT  BjornLomborg  If no climate progress has been made

it kind of means  amazing work  on climate window dressing

We need better amazing "
"228","RT @SenMikeLee: All I want is a protection saying the federal government may not punish any individual or entity based on a religious or mo…","ben","RT  SenMikeLee  All I want is a protection saying the federal government may not punish any individual or entity based on a religious or mo "
"229","RT @SenMikeLee: .@MarkWarner, I was never offered a simple-majority vote on my amendment. Now that you’re offering, I’ll take it! https://t…","ben","RT  SenMikeLee    MarkWarner  I was never offered a simple majority vote on my amendment  Now that you re offering  I ll take it  "
"230","Wut https://t.co/QTnilQDpuT","ben","Wut "
"231","Collins, Portman, Tillis, Blunt, Burr, Moore Capito, Lummis, Murkowski, Romney, Sullivan, Young, Ernst. Call their offices. Flood their emails. Ask them why they aren't supporting Lee's amendment as a condition of support for the bill if they want to protect religious freedom.","ben","Collins  Portman  Tillis  Blunt  Burr  Moore Capito  Lummis  Murkowski  Romney  Sullivan  Young  Ernst  Call their offices  Flood their emails  Ask them why they aren t supporting Lee s amendment as a condition of support for the bill if they want to protect religious freedom "
"232","12 Republicans voted for cloture on the Senate's same-sex marriage bill. It included an amendment that supposedly protected religious freedom. That amendment is insufficient. Mike Lee's amendment is necessary. We need 3 Senators to insist on Lee's amendment. Pressure them.","ben","12 Republicans voted for cloture on the Senate s same sex marriage bill  It included an amendment that supposedly protected religious freedom  That amendment is insufficient  Mike Lee s amendment is necessary  We need 3 Senators to insist on Lee s amendment  Pressure them "
"233","RT @baseballcrank: The Lincoln Project desperately fears the prospect of Donald Trump losing the nomination in 2024. You can smell the fear…","ben","RT  baseballcrank  The Lincoln Project desperately fears the prospect of Donald Trump losing the nomination in 2024  You can smell the fear "
"234","RT @townhallcom: REPORTER: ""Can you address whether the President was involved in any of his son Hunter or his brother's foreign business d…","ben","RT  townhallcom  REPORTER   Can you address whether the President was involved in any of his son Hunter or his brother s foreign business d "
"235","Extraordinary levels of Journalisming™ https://t.co/wfqcmqjs6U","ben","Extraordinary levels of Journalisming "
"236","RT @GabeGroisman: We will use every tool at our disposal to stand up to antisemitism. 

It was an honor to file this complaint with my frie…","ben","RT  GabeGroisman  We will use every tool at our disposal to stand up to antisemitism  

It was an honor to file this complaint with my frie "
"237","RT @RRHElections: This is not #GASen Raphael Warnock's dog. Warnock does not own a dog. The beagle is only a prop Warnock uses for his camp…","ben","RT  RRHElections  This is not  GASen Raphael Warnock s dog  Warnock does not own a dog  The beagle is only a prop Warnock uses for his camp "
"238","RT @guypbenson: incredible stuff","ben","RT  guypbenson  incredible stuff"
"239","RT @noatishby: Couldn’t be happier to spend an afternoon with a groups of these fierce woman. It’s not an easy thing to be a pro-Israel act…","ben","RT  noatishby  Couldn t be happier to spend an afternoon with a groups of these fierce woman  It s not an easy thing to be a pro Israel act "
"240","RT @rkylesmith: Based on lunch with some industry people, I would not be surprised if Top Gun: Maverick got an Oscar nomination for best pi…","ben","RT  rkylesmith  Based on lunch with some industry people  I would not be surprised if Top Gun  Maverick got an Oscar nomination for best pi "
"241","RT @yaf: .@benshapiro laying down the facts. https://t.co/WxJdxrkqMG","ben","RT  yaf    benshapiro laying down the facts  "
"242","RT @EsotericCD: My greatest regret: hoarding baseball cards because my dad told me about all the Mickey Mantles his mom threw away when he…","ben","RT  EsotericCD  My greatest regret  hoarding baseball cards because my dad told me about all the Mickey Mantles his mom threw away when he "
"243","RT @JeremysRazors: This is about more than just challenging woke razor corporations. Many of the brands you buy every day are funneling you…","ben","RT  JeremysRazors  This is about more than just challenging woke razor corporations  Many of the brands you buy every day are funneling you "
"244","RT @DailyCaller: Sunny Hostin: ""Jesus would be the grand marshal at the pride parade."" https://t.co/yR3lp51FhR","ben","RT  DailyCaller  Sunny Hostin   Jesus would be the grand marshal at the pride parade   "
"245","Wut https://t.co/hGRie7hOps","ben","Wut "
"246","The Left has no problem blaming tragedies like the one in Colorado Springs on their political opponents. According to them, anyone who doesn't support their radical social agenda is complicit. And yet they wonder why society is more polarized than ever. https://t.co/aqncSBJCoz","ben","The Left has no problem blaming tragedies like the one in Colorado Springs on their political opponents  According to them  anyone who doesn t support their radical social agenda is complicit  And yet they wonder why society is more polarized than ever  "
"247","RT @JeremysRazors: It’s been a rough weekend for woke razor companies. Sales of the new Jeremy’s range are through the roof. Make it roughe…","ben","RT  JeremysRazors  It s been a rough weekend for woke razor companies  Sales of the new Jeremy s range are through the roof  Make it roughe "
"248","RT @BillFOXLA: NEW: Over the weekend, we repeatedly witnessed illegal immigrants cross into Anapra, N.M., then run off towards neighborhood…","ben","RT  BillFOXLA  NEW  Over the weekend  we repeatedly witnessed illegal immigrants cross into Anapra  N M   then run off towards neighborhood "
"249","The rule is that you must never report on what is happening or a senior reporter for NBC News will blame you for a mass shooting and call for your deplatforming https://t.co/dzaQA0T8i9","ben","The rule is that you must never report on what is happening or a senior reporter for NBC News will blame you for a mass shooting and call for your deplatforming "
"250","RT @andylancaster: Shameful there was coordination to censor a legitimate news story because it could have hurt Biden’s chances in the elec…","ben","RT  andylancaster  Shameful there was coordination to censor a legitimate news story because it could have hurt Biden s chances in the elec "
"251","Actual bravery: Iranian soccer players refusing to sing the anthem, and risking jail or worse

Fake bravery: Europeans threatening to wear rainbow armbands to the cheers of the media, then backing down the minute they were threatened with a yellow card","ben","Actual bravery  Iranian soccer players refusing to sing the anthem  and risking jail or worse

Fake bravery  Europeans threatening to wear rainbow armbands to the cheers of the media  then backing down the minute they were threatened with a yellow card"
"252","RT @MegBeileen: 🚨Bombshell email🚨

In 2017, @SecretaryLevine asked CHOP Gender Clinic Co-Founder, Nadia Dowshen, for literature to support…","ben","RT  MegBeileen  Bombshell email

In 2017   SecretaryLevine asked CHOP Gender Clinic Co Founder  Nadia Dowshen  for literature to support "
"253","RT @DavidAFrench: Amazing. Courageous.","ben","RT  DavidAFrench  Amazing  Courageous "
"254","The quest by the Democratic leadership and media to link a horrifically evil shooting at a Colorado gay club to anyone who doesn't support a progressive social agenda is ongoing and terrible for the country. It's a cynical game only one side plays, and it's trash.","ben","The quest by the Democratic leadership and media to link a horrifically evil shooting at a Colorado gay club to anyone who doesn t support a progressive social agenda is ongoing and terrible for the country  It s a cynical game only one side plays  and it s trash "
"255","RT @SenMikeLee: We still have time to protect religious liberty. We’re asking our colleagues to support my amendment. https://t.co/y7JXkxNX…","ben","RT  SenMikeLee  We still have time to protect religious liberty  We re asking our colleagues to support my amendment  "
"256","RT @yashar: It's not our national anthem...it's the national anthem of the Islamic Republic, an occupying force in Iran.","ben","RT  yashar  It s not our national anthem   it s the national anthem of the Islamic Republic  an occupying force in Iran "
"257","RT @RitaPanahi: Well done, @MrWinMarshall. Takes courage to stare back at the hate mob  &amp; tell them to get stuffed. What happened to Marsha…","ben","RT  RitaPanahi  Well done   MrWinMarshall  Takes courage to stare back at the hate mob   amp  tell them to get stuffed  What happened to Marsha "
"258","@LahavHarkov Wait, you mean that progressive Jews who have been ambivalent at best about Israel for several decades are...ambivalent about Israel?!?!!!?!","ben"," LahavHarkov Wait  you mean that progressive Jews who have been ambivalent at best about Israel for several decades are   ambivalent about Israel        "
"259","RT @AviMayer: Bravo.","ben","RT  AviMayer  Bravo "
"260","RT @Joelmpetlin: Orthodox Jews now have something else to worry about. We have a Podcaster who wants targeted Antisemitism against @ChayaRa…","ben","RT  Joelmpetlin  Orthodox Jews now have something else to worry about  We have a Podcaster who wants targeted Antisemitism against  ChayaRa "
"261","RT @wil_da_beast630: This kid lost a full D1 scholarship for singing along to a rap song. #culrural_revolution_intensifies

Also, gotta ask…","ben","RT  wil da beast630  This kid lost a full D1 scholarship for singing along to a rap song   culrural revolution intensifies

Also  gotta ask "
"262","RT @dailywireplus: .@benshapiro and @jordanbpeterson met in Israel to sit down with Israel Prime Minister Benjamin Netanyahu for an in-dept…","ben","RT  dailywireplus    benshapiro and  jordanbpeterson met in Israel to sit down with Israel Prime Minister Benjamin Netanyahu for an in dept "
"263","RT @BjornLomborg: Africa's leaders are pro-fossil fuels for Africa

'Yes, climate change, but we must also think of humankind in Africa'

""…","ben","RT  BjornLomborg  Africa s leaders are pro fossil fuels for Africa

 Yes  climate change  but we must also think of humankind in Africa 

  "
"264","RT @jordanbpeterson: I'm back. Thanks @elonmusk https://t.co/MnWWNDACGD","ben","RT  jordanbpeterson  I m back  Thanks  elonmusk "
"265","Great read from @DouglasKMurray 
https://t.co/493hjMHFHd","ben","Great read from  DouglasKMurray 
"
"266","RT @michaelbd: Pro-@elonmusk, sorry. I have more faith in an owner cutting drastically ahead of a recession, and innovating on the fly than…","ben","RT  michaelbd  Pro  elonmusk  sorry  I have more faith in an owner cutting drastically ahead of a recession  and innovating on the fly than "
"267","RT @SethDillon: ‘Twitter Is Dead,’ 300 Million People Post On Twitter 
https://t.co/3YjnSOJVui","ben","RT  SethDillon   Twitter Is Dead   300 Million People Post On Twitter 
"
"268","RT @alec_sears: This might be the weirdest FTX news so far: 

Maxine Waters blew Sam Bankman-Fried a kiss after a Congressional hearing las…","ben","RT  alec sears  This might be the weirdest FTX news so far  

Maxine Waters blew Sam Bankman Fried a kiss after a Congressional hearing las "
"269","RT @iowahawkblog: Forbes: Everybody loves whiz kid Crypto Duck! Give your money to Crypto Duck!

&lt;2 minutes later&gt;

Forbes: everyone knows…","ben","RT  iowahawkblog  Forbes  Everybody loves whiz kid Crypto Duck  Give your money to Crypto Duck 

 lt 2 minutes later gt 

Forbes  everyone knows "
"270","RT @JeremysRazors: We did some research and “flip-back trimmer” is not inclusive of people who are not trim. Doesn’t mean they don’t have s…","ben","RT  JeremysRazors  We did some research and  flip back trimmer  is not inclusive of people who are not trim  Doesn t mean they don t have s "
"271","RT @WNGdotorg: ""The absurd has become sacred only because it hasn’t been ­sufficiently mocked,"" @SethDillon of the @TheBabylonBee writes.…","ben","RT  WNGdotorg   The absurd has become sacred only because it hasn t been sufficiently mocked    SethDillon of the  TheBabylonBee writes  "
"272","Unclear whether members of the media will be overjoyed or suicidally depressive if Musk's Twitter goes down.","ben","Unclear whether members of the media will be overjoyed or suicidally depressive if Musk s Twitter goes down "
"273","RT @marklevinshow: Zeldin for RNC chair.  No brainer.
https://t.co/KWvAHfRWdj","ben","RT  marklevinshow  Zeldin for RNC chair  No brainer 
"
"274","RT @tedfrank: In hindsight, I should have waited more than four hours after being told that Twitter was going down permanently before resor…","ben","RT  tedfrank  In hindsight  I should have waited more than four hours after being told that Twitter was going down permanently before resor "
"275","RT @EWErickson: This should have been announced before the Biden family investigation announcement.","ben","RT  EWErickson  This should have been announced before the Biden family investigation announcement "
"276","She is a modern-day Job https://t.co/9WZLZbdxdv","ben","She is a modern day Job "
"277","RT @nypost: Nicholas Joseph Gutierrez, suspect accused of mowing down 25 LA sheriff's recruits on morning run released from jail https://t.…","ben","RT  nypost  Nicholas Joseph Gutierrez  suspect accused of mowing down 25 LA sheriff s recruits on morning run released from jail "
"278","RT @ComfortablySmug: Lmaoooo","ben","RT  ComfortablySmug  Lmaoooo"
"279","RT @tomselliott: After airing this clip, CNN ran a ~8 minute segment claiming black women face racism over their hair — but never cited act…","ben","RT  tomselliott  After airing this clip  CNN ran a ~8 minute segment claiming black women face racism over their hair   but never cited act "
"280","RT @ltthompso: The red wave came. It was just extremely poorly distributed. We desperately need to fix our redistricting apparatus.","ben","RT  ltthompso  The red wave came  It was just extremely poorly distributed  We desperately need to fix our redistricting apparatus "
"281","RT @alexchristy17: Trevor Noah asks Obama why political discourse is so bad and, because some things never change, Obama blames Fox News ht…","ben","RT  alexchristy17  Trevor Noah asks Obama why political discourse is so bad and  because some things never change  Obama blames Fox News ht "
"282","RT @EdMorrissey: So what does Biden do now? Hold the pariahs accountable, or suck up even more to the leader of a key strategic ally who Bi…","ben","RT  EdMorrissey  So what does Biden do now  Hold the pariahs accountable  or suck up even more to the leader of a key strategic ally who Bi "
"283","RT @asymmetricinfo: Holy Toledo, vaccine doubled 5-year survival rate for glioblastoma. https://t.co/WeH9FXTZ5A

Still pretty dismal, to be…","ben","RT  asymmetricinfo  Holy Toledo  vaccine doubled 5 year survival rate for glioblastoma  "
"284","RT @biancoresearch: Supposedly Twitter has lost 90% of its staff (7.5k to 750).

The fear is this app stops working soon. 

Or is the real…","ben","RT  biancoresearch  Supposedly Twitter has lost 90  of its staff  7 5k to 750  

The fear is this app stops working soon  

Or is the real "
"285","RT @jimgeraghty: FTX filed for bankruptcy, and John Jay Ray III, who is running what’s left of the company, declared in the bankruptcy fili…","ben","RT  jimgeraghty  FTX filed for bankruptcy  and John Jay Ray III  who is running what s left of the company  declared in the bankruptcy fili "
"286","The most amazing thing about our political media coverage is their willingness to attribute every bad thing to the Trump Phenomenon™. Pelosi helped polarize American politics in extraordinary ways, and preceded Trump in serious power by solidly a decade and a half.","ben","The most amazing thing about our political media coverage is their willingness to attribute every bad thing to the Trump Phenomenon  Pelosi helped polarize American politics in extraordinary ways  and preceded Trump in serious power by solidly a decade and a half "
"287","RT @EWErickson: Oh Lord.  Get ready for DEI and a name change ordered by progressive shareholders. https://t.co/GLPAYYNiNb","ben","RT  EWErickson  Oh Lord   Get ready for DEI and a name change ordered by progressive shareholders  "
"288","Pelosi will be remembered for three things: driving her party HARD to the Left, reorienting it to the extent that a San Francisco radical was now outflanked by an entire branch of her own caucus; spending more money than any human in history; and getting rich off stock trades.","ben","Pelosi will be remembered for three things  driving her party HARD to the Left  reorienting it to the extent that a San Francisco radical was now outflanked by an entire branch of her own caucus  spending more money than any human in history  and getting rich off stock trades "
"289","RT @DouthatNYT: Only the dead have seen the end of Twitter.","ben","RT  DouthatNYT  Only the dead have seen the end of Twitter "
"290","RT @JustTheNews: CNN prepares layoffs amid network's financial, ratings woes https://t.co/QvETsKnlPh","ben","RT  JustTheNews  CNN prepares layoffs amid network s financial  ratings woes "
"291","Learn to weld.","ben","Learn to weld "
"292","RT @wil_da_beast630: I'll say this again: the core question of the gender debate isn't ""Are there a few people with Mosaic Syndrome who are…","ben","RT  wil da beast630  I ll say this again  the core question of the gender debate isn t  Are there a few people with Mosaic Syndrome who are "
"293","RT @elonmusk: And … we just hit another all-time high in Twitter usage lol","ben","RT  elonmusk  And   we just hit another all time high in Twitter usage lol"
"294","RT @elonmusk: https://t.co/rbwbsLA1ZG","ben","RT  elonmusk  "
"295","RT @elonmusk: https://t.co/JU073T756X","ben","RT  elonmusk  "
"296","WH COS just out here RTing every Jennifer Rubin column lmao https://t.co/ooQSTHXoKn","ben","WH COS just out here RTing every Jennifer Rubin column lmao "
"297","The sheer panic from media members over internal workforce issues at Twitter is one of the most bubble-revealing moments in recent memory.","ben","The sheer panic from media members over internal workforce issues at Twitter is one of the most bubble revealing moments in recent memory "
"298","Glad to see it has now been deemed Socially Acceptable™ to discuss precisely the issues for which @AbigailShrier was nearly unpersoned https://t.co/eNQq4bj4CL","ben","Glad to see it has now been deemed Socially Acceptable to discuss precisely the issues for which  AbigailShrier was nearly unpersoned "
"299","RT @ZackBornstein: pre-elon twitter: pls free me from this hellsite

post-elon twitter: Everyday with you all has been a gift. I owe my car…","ben","RT  ZackBornstein  pre elon twitter  pls free me from this hellsite

post elon twitter  Everyday with you all has been a gift  I owe my car "
"300","So. Much. Awesome. https://t.co/W5lvTjaSAS","ben","So  Much  Awesome  "
"301","RT @realDailyWire: .@JeremyDBoreing announces @dailywireplus has secured the rights to The Pendragon Cycle by Stephen R Lawhead: ""It's the…","ben","RT  realDailyWire    JeremyDBoreing announces  dailywireplus has secured the rights to The Pendragon Cycle by Stephen R Lawhead   It s the "
"302","Families were the Burkeian “little platoons” upon which society rested. Then we destroyed the very definitions of marriage and family. The effect means seemingly irreversible civilizational decline. Read my piece on it here: https://t.co/cNCPTxqz4R","ben","Families were the Burkeian  little platoons  upon which society rested  Then we destroyed the very definitions of marriage and family  The effect means seemingly irreversible civilizational decline  Read my piece on it here  "
"303","Marriage was built around family formation; as historian Gertrude Himmelfarb points out, this means that family was not a “voluntary association,” but a basic reality of life.","ben","Marriage was built around family formation  as historian Gertrude Himmelfarb points out  this means that family was not a  voluntary association   but a basic reality of life "
"304","This was not merely normative – it was descriptive o the natural state of mankind. Virtually every known human culture has societally-approved marriage: the joining of a man and a woman.","ben","This was not merely normative   it was descriptive o the natural state of mankind  Virtually every known human culture has societally approved marriage  the joining of a man and a woman "
"305","That’s because we’ve radically redefined the basic building block of society: the marriage-based family. Marriage was, for nearly all of human history, predominantly built around child-bearing and child-rearing.","ben","That s because we ve radically redefined the basic building block of society  the marriage based family  Marriage was  for nearly all of human history  predominantly built around child bearing and child rearing "
"306","These facts are not disconnected. The death of marriage is a key component in the withering of Western civilization. Marriage rates are dropping; birth rates are dropping; to prop up governmental spending, mass immigration must increase.","ben","These facts are not disconnected  The death of marriage is a key component in the withering of Western civilization  Marriage rates are dropping  birth rates are dropping  to prop up governmental spending  mass immigration must increase "
"307","Yesterday, Senate Majority Leader Chuck Schumer said that thanks to America’s low birthrate, we need to amnesty 11 million illegal immigrants. Meanwhile, the Senate passed a bill enshrining same-sex marriage definitionally into federal law.","ben","Yesterday  Senate Majority Leader Chuck Schumer said that thanks to America s low birthrate  we need to amnesty 11 million illegal immigrants  Meanwhile  the Senate passed a bill enshrining same sex marriage definitionally into federal law "
"308","RT @realDailyWire: .@JeremyDBoreing: ""We are on track to meet our goal of $100 million  of initial investment into kids content, and what w…","ben","RT  realDailyWire    JeremyDBoreing   We are on track to meet our goal of $100 million  of initial investment into kids content  and what w "
"309","RT @realDailyWire: .@JeremyDBoreing: ""There has never been a definitive series adaptation of Ayn Rand's Atlas Shrugged. There will be now,…","ben","RT  realDailyWire    JeremyDBoreing   There has never been a definitive series adaptation of Ayn Rand s Atlas Shrugged  There will be now  "
"310","RT @realDailyWire: .@JeremyDBoreing introduces two kids shows coming soon to @dailywireplus: ""The Zoodles Show"" and ""A Wonderful Day With M…","ben","RT  realDailyWire    JeremyDBoreing introduces two kids shows coming soon to  dailywireplus   The Zoodles Show  and  A Wonderful Day With M "
"311","RT @realDailyWire: .@JeremyDBoreing gives an update on @dailywireplus kids content: ""Chip Chilla is a hugely entertaining show...we booked…","ben","RT  realDailyWire    JeremyDBoreing gives an update on  dailywireplus kids content   Chip Chilla is a hugely entertaining show   we booked "
"312","RT @MattWalshBlog: That's an extremely low number and puts the trans murder rate below the murder rate for the general population. Thank yo…","ben","RT  MattWalshBlog  That s an extremely low number and puts the trans murder rate below the murder rate for the general population  Thank yo "
"313","Prepare thyselves https://t.co/Qc1wbQ1txJ","ben","Prepare thyselves "
"314","RT @realDailyWire: .@JeremyDBoreing: ""For the first time ever, @dailywireplus can announce that we have 1,000,000 active subscribers."" http…","ben","RT  realDailyWire    JeremyDBoreing   For the first time ever   dailywireplus can announce that we have 1 000 000 active subscribers   "
"315","RT @realDailyWire: .@JeremyDBoreing: ""Next week, we're going to launch not just one, but two essential new specials from @jordanbpeterson.""…","ben","RT  realDailyWire    JeremyDBoreing   Next week  we re going to launch not just one  but two essential new specials from  jordanbpeterson   "
"316","RT @realDailyWire: .@JeremyDBoreing: ""As of this week, @JeremysRazors has sold over 100,000 razor kits. That's 100,000 men who are no longe…","ben","RT  realDailyWire    JeremyDBoreing   As of this week   JeremysRazors has sold over 100 000 razor kits  That s 100 000 men who are no longe "
"317","RT @realDailyWire: .@JeremyDBoreing: ""DailyWire+ generates over 80 million podcast downloads every single month. That makes us the #5 podca…","ben","RT  realDailyWire    JeremyDBoreing   DailyWire+ generates over 80 million podcast downloads every single month  That makes us the  5 podca "
"318","RT @realDailyWire: DailyWire+ Townhall: Fall 2022

Lights. Camera. Action. Big things are happening at DailyWire+ right now and in the comi…","ben","RT  realDailyWire  DailyWire+ Townhall  Fall 2022

Lights  Camera  Action  Big things are happening at DailyWire+ right now and in the comi "
"319","RT @realDailyWire: .@JeremyDBoreing gives a first look at The Master's Program with @PragerU, coming to DailyWire+ in December:

""@DennisPr…","ben","RT  realDailyWire    JeremyDBoreing gives a first look at The Master s Program with  PragerU  coming to DailyWire+ in December 

  DennisPr "
"320","RT @DavidAFrench: Horrifying. It makes me feel sick just reading it.","ben","RT  DavidAFrench  Horrifying  It makes me feel sick just reading it "
"321","RT @MaajidNawaz: “And in another post, enumerating things she thinks are ‘cute’ for men to do, she listed ‘sufficient strength to overpower…","ben","RT  MaajidNawaz   And in another post  enumerating things she thinks are  cute  for men to do  she listed  sufficient strength to overpower "
"322","RT @PhilipWegmann: The New York Times reports that Naomi Biden and her fiancee ""live at the White House, according to two people familiar w…","ben","RT  PhilipWegmann  The New York Times reports that Naomi Biden and her fiancee  live at the White House  according to two people familiar w "
"323","RT @BrianCAlbrecht: In 1984, F.A. Hayek was asked who his favorite economist was. He named two.

The first was Nobel Prize winner George St…","ben","RT  BrianCAlbrecht  In 1984  F A  Hayek was asked who his favorite economist was  He named two 

The first was Nobel Prize winner George St "
"324","RT @BradWilcoxIFS: Happiness is collapsing in America, @arthurbrooks notes @TheAtlantic, because more &amp; more Americans have become disconne…","ben","RT  BradWilcoxIFS  Happiness is collapsing in America   arthurbrooks notes  TheAtlantic  because more  amp  more Americans have become disconne "
"325","Chuck Schumer just outlined the so-called ""Great Replacement Theory,"" in which he advocated giving amnesty to 11 million immigrants to make up for America's low birth rate. It's fine when he says it. It's only wrong when you notice it. https://t.co/Z5rpTG9lbf","ben","Chuck Schumer just outlined the so called  Great Replacement Theory   in which he advocated giving amnesty to 11 million immigrants to make up for America s low birth rate  It s fine when he says it  It s only wrong when you notice it  "
"326","RT @conservmillen: When Christians complain about the  ubiquitousness of LGBTQ content, even in children’s entertainment, we’re accused of…","ben","RT  conservmillen  When Christians complain about the  ubiquitousness of LGBTQ content  even in children s entertainment  we re accused of "
"327","RT @disclosetv: NOW - Republicans announce an investigation into Joe Biden. https://t.co/qEaVgHwMI9","ben","RT  disclosetv  NOW   Republicans announce an investigation into Joe Biden  "
"328","RT @rachelbovard: @MystikSpirally No. The fig leaf protections for “religious liberty” don’t actually protect religious liberty. The proces…","ben","RT  rachelbovard   MystikSpirally No  The fig leaf protections for  religious liberty  don t actually protect religious liberty  The proces "
"329","RT @JakeSherman: BREAKING -- 

THE NEXT DEM LEADERSHIP is expected to be:

LEADER: @RepJeffries 
WHIP: @RepKClark 
CAUCUS CHAIR: @RepPeteAg…","ben","RT  JakeSherman  BREAKING    

THE NEXT DEM LEADERSHIP is expected to be 

LEADER   RepJeffries 
WHIP   RepKClark 
CAUCUS CHAIR   RepPeteAg "
"330","Also, I don't believe you. If I offered you that compromise position -- civil marriage only for fertile male-female couples -- would you truly be okay with that?","ben","Also  I don t believe you  If I offered you that compromise position    civil marriage only for fertile male female couples    would you truly be okay with that "
"331","Suggesting that because some male-female dyads are infertile, marriage must therefore be redefined to include definitionally infertile dyads is illogical and ridiculous https://t.co/DmMK8zENdF","ben","Suggesting that because some male female dyads are infertile  marriage must therefore be redefined to include definitionally infertile dyads is illogical and ridiculous "
"332","Some interesting notions about what it means to be a ""devout Catholic"" happening here https://t.co/S2bDhQkWcs https://t.co/KbZog0Yb5s","ben","Some interesting notions about what it means to be a  devout Catholic  happening here "
"333","You may like the redefinition. But let's not pretend that it's not a fundamental redefinition, or that there are no non-religious arguments for the traditional marriage definition.","ben","You may like the redefinition  But let s not pretend that it s not a fundamental redefinition  or that there are no non religious arguments for the traditional marriage definition "
"334","SSM is merely the latest symptom of an underlying cause: the destruction of marriage itself, defined as a relationship providing the basis for child-bearing and rearing. Redefining marriage isn't ""respect for marriage"" any more than redefining red as blue is respect for red.","ben","SSM is merely the latest symptom of an underlying cause  the destruction of marriage itself  defined as a relationship providing the basis for child bearing and rearing  Redefining marriage isn t  respect for marriage  any more than redefining red as blue is respect for red "
"335","The government does have a stake in incentivizing and supporting traditional family creation. But if you'd like to go full libertarian on the issue as a consensus solution -- take the government out entirely -- I suggested that more than a decade ago. Welcome to the club. https://t.co/MdJvn1FVMh","ben","The government does have a stake in incentivizing and supporting traditional family creation  But if you d like to go full libertarian on the issue as a consensus solution    take the government out entirely    I suggested that more than a decade ago  Welcome to the club  "
"336","The view that the law ought to use the same label to apply to all dyads, regardless of the sex of the people involved, can only be defended by radically changing the nature of marriage. SSM isn't the only legal issue implicated here; so is no-fault divorce, for example.","ben","The view that the law ought to use the same label to apply to all dyads  regardless of the sex of the people involved  can only be defended by radically changing the nature of marriage  SSM isn t the only legal issue implicated here  so is no fault divorce  for example "
"337","I fully grasp the distinction. You fail to explain the why the law should or must obliterate the distinction between male-male or female-female vs. male-female dyads when they have wildly different societal effects and benefits. https://t.co/evIIpKqBFl","ben","I fully grasp the distinction  You fail to explain the why the law should or must obliterate the distinction between male male or female female vs  male female dyads when they have wildly different societal effects and benefits  "
